"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:34b3a3Pz9Jlz0092LMyNAB","What's Going On","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","spotify:album:3P9Pzn7O4Zsr3tsCSsx7Uk","What's Going On - 40th Anniversary (Super Deluxe)","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","1971-05-21","https://i.scdn.co/image/ab67616d0000b273ebd0b8baa57a95925425769c","1","1","232600","","false","0","USMO17100041","","2018-12-21T17:05:37Z"
"spotify:track:6clLoonNnovwCs5333nudi","Doppio Nodo","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","spotify:album:45o0JtSekR90PAsU1X6cuS","Fa Niente","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","2017-02-10","https://i.scdn.co/image/ab67616d0000b273dcebec569629405fa8455f15","1","8","274666","","false","27","ITLGE1600027","","2018-12-18T18:30:34Z"
"spotify:track:5Lq6BzHqzo47FzKXHU2hDX","Paracadute","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","spotify:album:45o0JtSekR90PAsU1X6cuS","Fa Niente","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","2017-02-10","https://i.scdn.co/image/ab67616d0000b273dcebec569629405fa8455f15","1","4","353106","","false","25","ITLGE1600024","","2018-12-18T18:30:33Z"
"spotify:track:2HPplKNrDIemUMsSq8Onm4","L'Abbronzatura","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","spotify:album:45o0JtSekR90PAsU1X6cuS","Fa Niente","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","2017-02-10","https://i.scdn.co/image/ab67616d0000b273dcebec569629405fa8455f15","1","1","237200","","false","24","ITLGE1600021","","2018-12-18T18:30:32Z"
"spotify:track:4HDQijE0ZTtAM2kud3RUqM","Acqua Minerale","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","spotify:album:45o0JtSekR90PAsU1X6cuS","Fa Niente","spotify:artist:422Vo1v0NaW7ZVU8EwvhKW","Giorgio Poi","2017-02-10","https://i.scdn.co/image/ab67616d0000b273dcebec569629405fa8455f15","1","6","228546","","false","38","ITLGE1600025","","2018-12-18T18:12:01Z"
"spotify:track:40ZeWTcxUIksms8LstdvcP","Lexotan","spotify:artist:1WQY0Xovzegy0pJiOuuyRP","I Cani","spotify:album:1O8xo7V5Jo326PbctFBVdj","Glamour","spotify:artist:1WQY0Xovzegy0pJiOuuyRP","I Cani","2013-01-01","https://i.scdn.co/image/ab67616d0000b2731214ccec68fe3f5c33b9da71","1","11","290840","","false","0","IT3GN1300020","","2018-12-18T18:03:35Z"
"spotify:track:40SslAHt15Duy4uldwXNAm","Se Piovesse Il Tuo Nome - con Calcutta","spotify:artist:2ARH58Hit3yC6ziGdhma23, spotify:artist:582KhTHEVOONNQLmQ5612r","Elisa, Calcutta ","spotify:album:5Eczqo5SBbKB4fImeYEVm1","Diari Aperti","spotify:artist:2ARH58Hit3yC6ziGdhma23","Elisa","2018-12-14","https://i.scdn.co/image/ab67616d0000b2734aa5d6b99e31f30007e5dad8","1","12","194519","","false","0","ITUM71801282","","2018-12-18T17:08:08Z"
"spotify:track:1kDL4EErmvXdQCZRJoJHQn","Vertigo","spotify:artist:07xbJ7SM1JopFtI1qXvSww, spotify:artist:1ctkBmvz80MGyi72Ix055S","Mini Mansions, Alex Turner","spotify:album:4gX4fRhNwcocF3EnwwNUkX","The Great Pretenders","spotify:artist:07xbJ7SM1JopFtI1qXvSww","Mini Mansions","2015-03-23","https://i.scdn.co/image/ab67616d0000b27326d097de613eb2deae1e0de8","1","6","297733","","false","56","USUM71414939","","2018-12-13T17:19:34Z"
"spotify:track:5fdNHVZHbWB1AaXk4RBGVD","Just the Two of Us","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","spotify:album:50gtvo0hufJj06ipbOjAiU","Winelight","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","1980","https://i.scdn.co/image/ab67616d0000b273d8e0e065037b496212e554b7","1","5","443773","https://p.scdn.co/mp3-preview/1b6751b56aa0443dfcc1245134207e40bb20df50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USEE10900522","","2018-12-10T18:24:44Z"
"spotify:track:1wXPNl3E4hIz78Luqed1EL","Un mondo che non c'è più","spotify:artist:1F3C8pMF4AiLhSpeMpzfJO","Stella Maris","spotify:album:3AMO6fsJWXZ3X1TudZjKej","Un mondo che non c'è più","spotify:artist:1F3C8pMF4AiLhSpeMpzfJO","Stella Maris","2018-05-18","https://i.scdn.co/image/ab67616d0000b273ba7b99072df8f2f0153c8661","1","1","227846","https://p.scdn.co/mp3-preview/a81a4713170c79ef7b001d8f4828b5b34df19d1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","ITP841800146","","2018-12-10T17:27:09Z"
